semester,departmentId,serialNumber,attributeCode,systemCode,forGrade,forClass,forClassGroup,category,courseName,courseNote,courseLimit,tags,credits,required,instructors,selected,available,time
01131,I9,183,DEN5873,I941900,4,,,實習,兒童牙科學實驗,牙醫系館34201、34206教室上課。限牙醫學系四年級(含)以上學生選修。,限本系；限以上選課,,1,True,許修銘,0,32,"0,8,9,25,34201,牙醫系館 34201"
01131,I9,185,MED1218,I911602,4,,,講義,有機化學（二）,限牙醫學系三年級(含)以上學生修課。,限以上選課；第一階段不受理選課,,1,False,陳毓宏,0,-3,"3,5,,,,"
01131,I9,226,DEN5066,I951600,5,,,講義,耳鼻喉科學,限牙醫學系五年級(含)以上學生修課。,限本系；限以上選課,,1,True,"林政佑, 蔡書維, 黃正池, 李威霆, 張展旗",0,36,"2,8,,25,34104,牙醫系館 34104"
01131,I9,227,DEN5081,I951500,5,,,講義,口腔顎面外科學（含實驗）（二）,限牙醫學系五年級(含)以上學生修課。,限本系；限以上選課,,3,True,"陳畊仲, 陳孟延, 王東堯, 黃則達",0,36,"0,6,9,25,34103,牙醫系館 34103"
01131,I9,228,DEN5061,I950100,5,,,講義,局部補綴學,限牙醫學系五年級(含)以上學生修課。,限本系；限以上選課,,2,True,陳永崇,0,36,"4,1,2,25,34104,牙醫系館 34104"
01131,I9,229,DEN5071,I950200,5,,,實習,局部補綴學實驗,限牙醫學系五年級(含)以上學生修課。,限本系；限以上選課,,3,True,陳永崇,0,32,"4,3,9,25,34206,牙醫系館 34206"
01131,I9,230,DEN5083,I952000,5,,,實習,牙醫臨床技能學（含實驗）（二）,限牙醫學系五年級(含)以上學生修課。需先修畢《牙醫臨床技能學(含實驗)（一）,需先修以下科目:《牙醫臨床技能學（含實驗）（一）/必修/1 學分/60 分以上》；限以上選課,,1,True,"吳昱學, 黃則達, 丁羣展, 邱威智, 陳永崇, 許修銘, 莊淑芬, 張禎容",0,28,"2,3,4,25,34309,牙醫系館 34309"
01131,I9,231,DEN5084,I952100,5,,,實習,初階牙體復形學臨床實習（下）,,限本系；限以上選課,,1,True,"莊淑芬, 倪志偉",0,-3,"0,1,,,,, 1,1,10,,,, 3,1,10,,,"
01131,I9,232,DEN5085,I952200,5,,,實習,初階牙髓病學臨床實習（下）,,限本系；限以上選課,,1,True,邱威智,0,-3,"0,1,,,,, 1,1,10,,,, 3,1,10,,,"
01131,I9,233,DEN5086,I952300,5,,,實習,初階牙周病學臨床實習（下）,,限本系；限以上選課,,1,True,"丁羣展, 袁國, 曾春祺",0,-3,"0,1,,,,, 1,1,10,,,, 3,1,10,,,"
